iter	Passed	Remaining
0	6	6428
1	9	4788
2	11	3885
3	13	3354
4	14	2981
5	16	2735
6	18	2556
7	19	2465
8	21	2366
9	23	2281
10	24	2215
11	26	2157
12	27	2109
13	29	2070
14	30	2030
15	33	2043
16	34	2012
17	41	2245
18	44	2280
19	47	2338
20	55	2583
21	58	2588
22	61	2627
23	65	2673
24	70	2731
25	74	2786
26	78	2837
27	84	2938
28	88	2947
29	92	2996
30	97	3059
31	100	3037
32	104	3052
33	107	3060
34	111	3062
35	114	3071
36	118	3092
37	122	3108
38	126	3113
39	129	3113
40	133	3118
41	136	3120
42	140	3118
43	143	3116
44	147	3124
45	150	3128
46	154	3126
47	159	3166
48	164	3183
49	166	3166
50	170	3170
51	174	3185
52	180	3223
53	181	3187
54	183	3154
55	185	3126
56	187	3104
57	190	3089
58	191	3057
59	193	3026
60	194	2997
61	196	2979
62	199	2966
63	201	2943
64	202	2919
65	204	2894
66	206	2870
67	207	2847
68	209	2825
69	210	2803
70	213	2787
71	216	2795
72	218	2774
73	220	2754
74	226	2789
75	227	2769
76	229	2750
77	231	2732
78	235	2742
79	240	2766
80	244	2776
81	246	2759
82	248	2742
83	249	2723
84	251	2708
85	257	2740
86	259	2723
87	261	2707
88	262	2690
89	269	2726
90	272	2721
91	277	2741
92	279	2722
93	280	2706
94	282	2695
95	289	2723
96	292	2725
97	296	2725
98	297	2709
99	299	2693
100	300	2678
101	304	2678
102	309	2697
103	311	2686
104	314	2684
105	318	2684
106	321	2684
107	325	2685
108	328	2682
109	329	2666
110	331	2651
111	332	2637
112	334	2623
113	335	2609
114	337	2594
115	338	2580
116	340	2566
117	341	2553
118	343	2539
119	344	2526
120	346	2514
121	347	2501
122	348	2487
123	350	2475
124	351	2463
125	353	2450
126	354	2438
127	356	2427
128	357	2416
129	359	2404
130	360	2393
131	362	2383
132	363	2372
133	365	2361
134	366	2350
135	368	2340
136	369	2329
137	371	2319
138	373	2312
139	374	2302
140	376	2291
141	377	2281
142	379	2272
143	380	2262
144	382	2252
145	383	2242
146	384	2233
147	386	2224
148	387	2215
149	389	2205
150	390	2196
151	391	2186
152	393	2178
153	394	2169
154	396	2160
155	397	2151
156	399	2142
157	400	2134
158	401	2125
159	403	2116
160	404	2108
161	406	2100
162	407	2091
163	408	2083
164	410	2075
165	411	2068
166	413	2060
167	414	2052
168	415	2044
169	417	2037
170	418	2029
171	420	2022
172	421	2014
173	422	2007
174	424	2000
175	425	1993
176	427	1986
177	428	1979
178	430	1973
179	431	1966
180	433	1960
181	434	1953
182	436	1946
183	437	1940
184	438	1933
185	440	1927
186	441	1920
187	443	1914
188	444	1907
189	446	1901
190	447	1895
191	448	1889
192	450	1883
193	451	1876
