,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
21,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",[0.8164632  0.80640676 0.83626608 0.81917234],0.8195770954971887,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__device_protection_Yes', 'cat__tech_support_Yes', 'cat__streaming_tv_Yes', 'cat__streaming_movies_Yes', 'cat__gender_Male', 'cat__partner_Yes', 'cat__dependents_Yes', 'cat__multiple_lines_Yes')",0.017224407550891056,0.010745232798791794,0.006203763048887638
20,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",[0.81484031 0.81146689 0.83305905 0.82697329],0.821584885212928,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__device_protection_Yes', 'cat__tech_support_Yes', 'cat__streaming_tv_Yes', 'cat__streaming_movies_Yes', 'cat__gender_Male', 'cat__partner_Yes', 'cat__dependents_Yes', 'cat__multiple_lines_Yes')",0.01407876085581679,0.00878286016324797,0.005070786679506056
19,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20)",[0.81528706 0.81403114 0.83607234 0.82806195],0.8233631231913636,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__tech_support_Yes', 'cat__streaming_tv_Yes', 'cat__streaming_movies_Yes', 'cat__gender_Male', 'cat__partner_Yes', 'cat__dependents_Yes', 'cat__multiple_lines_Yes')",0.014689636430262644,0.00916394730596231,0.005290807443936886
18,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19)",[0.8188565  0.81430467 0.83776361 0.82965957],0.8251460857362212,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__tech_support_Yes', 'cat__streaming_tv_Yes', 'cat__streaming_movies_Yes', 'cat__gender_Male', 'cat__partner_Yes', 'cat__dependents_Yes')",0.014706176582541667,0.009174265674605208,0.00529676475685046
17,"(0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19)",[0.81581131 0.81595946 0.84214905 0.82863709],0.8256392290014648,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__tech_support_Yes', 'cat__streaming_tv_Yes', 'cat__streaming_movies_Yes', 'cat__gender_Male', 'cat__partner_Yes', 'cat__dependents_Yes')",0.0174100171761511,0.010861023059050267,0.0062706145868174044
16,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 19)",[0.81525515 0.81516625 0.83829013 0.83078932],0.8248752128264298,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__tech_support_Yes', 'cat__streaming_tv_Yes', 'cat__streaming_movies_Yes', 'cat__gender_Male', 'cat__partner_Yes', 'cat__dependents_Yes')",0.016064763511247984,0.01002180326236913,0.005786090811294287
15,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18)",[0.81326073 0.8173567  0.83598344 0.83188483],0.8246214237881357,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__tech_support_Yes', 'cat__streaming_tv_Yes', 'cat__streaming_movies_Yes', 'cat__gender_Male', 'cat__partner_Yes')",0.015285040792027796,0.009535382924730612,0.005505255898419379
14,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17)",[0.81494288 0.81739089 0.83631851 0.82933776],0.8244975093686715,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__tech_support_Yes', 'cat__streaming_tv_Yes', 'cat__streaming_movies_Yes', 'cat__gender_Male')",0.013996492453582091,0.008731538041927708,0.0050411558389464204
13,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 17)",[0.81316272 0.8159777  0.83855909 0.82762375],0.8238308143521268,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__tech_support_Yes', 'cat__streaming_tv_Yes', 'cat__gender_Male')",0.01616525958334855,0.010084496489227253,0.00582228676269719
12,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 15, 17)",[0.81184526 0.81736354 0.83289722 0.82686374],0.8222424383310699,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__streaming_tv_Yes', 'cat__gender_Male')",0.013091210318125004,0.008166789021368767,0.004715097839902138
11,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 17)",[0.80867926 0.81409497 0.83332118 0.82650541],0.8206502043976429,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__internet_service_Fiber optic', 'cat__online_security_Yes', 'cat__online_backup_Yes', 'cat__gender_Male')",0.015646765875601914,0.009761040627074356,0.005635539433612253
10,"(0, 1, 2, 3, 4, 5, 6, 10, 12, 17)",[0.8095021  0.81662731 0.83365852 0.82767624],0.8218660426654341,"('num__id', 'num__monthly_charges', 'num__total_charges', 'num__senior_citizen', 'cat__type_One year', 'cat__type_Two year', 'cat__paperless_billing_Yes', 'cat__internet_service_Fiber optic', 'cat__online_backup_Yes', 'cat__gender_Male')",0.015061462936381099,0.009395906655344838,0.005424729236743938
