,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
21,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",[0.81670253 0.80603751 0.83650541 0.81888705],0.819533125264549,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes', 'multiple_lines_Yes')",0.017534517404843984,0.010938690980971834,0.00631545618244622
20,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",[0.8143776  0.81094264 0.832822   0.82682722],0.8212423671657538,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes', 'multiple_lines_Yes')",0.014303584279057297,0.00892311346451264,0.005151761960745947
19,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20)",[0.81537367 0.81323794 0.83596749 0.82811444],0.8231733854667974,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes', 'multiple_lines_Yes')",0.014944131782529346,0.009322711071754346,0.005382469746854477
18,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19)",[0.81875393 0.81332683 0.83789125 0.82874664],0.8246796636843096,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.015103100952812948,0.009421882014933738,0.005439726117594887
17,"(0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19)",[0.8156244  0.81524375 0.84230632 0.82865763],0.8254580283772384,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.017834458979761852,0.011125805808521419,0.006423486978501343
16,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 19)",[0.8152164  0.81465112 0.83837675 0.82986498],0.8245273125972273,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.016120320367774228,0.01005646171753978,0.0058061008797167584
15,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18)",[0.81344308 0.81612814 0.83602903 0.83112253],0.8241806933794213,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes')",0.015390130374371987,0.009600941755922904,0.005543106307256007
14,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17)",[0.81536    0.81737493 0.83629115 0.82869415],0.8244300591344618,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male')",0.013670265082758584,0.008528025146957047,0.004923657614251549
13,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 17)",[0.81348866 0.81507736 0.83889644 0.82710566],0.8236420303189719,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'gender_Male')",0.016447910132579294,0.010260824525080862,0.00592408980166295
12,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 15, 17)",[0.81218488 0.81587057 0.83250973 0.82645749],0.8217556673908095,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'streaming_tv_Yes', 'gender_Male')",0.01302246784476366,0.008123904882843248,0.004690338670980464
